key;values
a7x;avenged sevenfold
beastie boy;beastie boys
close to the edge;yesband
eric gilette;eric gillette
fenella share new;jane weaver fenella share new
gnr;guns n roses
greta van vleet;greta van fleet
headbang to enter sandman;headbang to metallica enter sandman
kanye apparently;kanye west apparently
king gizzard and the wizard lizard;king gizzard and the lizard wizard
mgk;machine gun kelly
one of the november rain;one of the guns n roses november rain
ratm;rage against the machine
rhcp;red hot chili peppers
