rock_artist;genre_wiki_general;city;state;country;date_from;date_to;genre
AC/DC;hard_rock_musicians;Sydney;New South Wales;Australia;1973;present;hard rock
A Certain Ratio;new_wave_artists;Flixton;Greater Manchester;United Kingdom;1977;present;new wave
A Common Year;indie_rock_musicians;Indianapolis;Indiana;United States;2009;present;indie rock
A Day to Remember;alternative_rock_artists;Ocala;Florida;United States;2003;present;alternative rock
AFI;alternative_rock_artists;Ukiah;California;United States;1991;present;alternative rock
A Fragile Tomorrow;folk_rock_artists;Montgomery;New York;United States;2003;present;folk rock
A Great Big Pile of Leaves;indie_rock_musicians;New York City;New York;United States;2007;present;indie rock
AJJ;folk_rock_artists;Phoenix;Arizona;United States;2004;present;folk rock
A Northern Chorus;indie_rock_musicians;Hamilton;Ontario;Canada;1999;2008;indie rock
APB;alternative_rock_artists;Aberdeenshire;;Scotland;1979;present;alternative rock
A Place to Bury Strangers;post-punk_revival_bands;New York City;New York;United States;2003;present;post-punk revival
A Rocket to the Moon;alternative_rock_artists;Braintree;Massachusetts;United States;2006;2017;alternative rock
A Silent Film;alternative_rock_artists;Oxford;Oxfordshire;United Kingdom;2005;2018;alternative rock
A Spectre Is Haunting Europe;post-punk_revival_bands;Vancouver;British Columbia;Canada;2002;2009;post-punk revival
Aaron Gillespie;folk_rock_artists;Clearwater;Florida;United States;1997;present;folk rock
Aaron Sprinkle;folk_rock_artists;Seattle;Washington;United States;1990;present;folk rock
Ace of Cups;garage_rock_bands;San Francisco;California;United States;1967;present;garage rock
Action Action;indie_rock_musicians;New York City;New York;United States;2004;2010;indie rock
Adam Again;alternative_rock_artists;Huntington Beach;California;United States;1982;2000;alternative rock
Adam Lambert;glam_rock_artists;San Diego;California;United States;2001;present;glam rock
Adam and the Ants;new_wave_artists;London;London;United Kingdom;1977;1982;new wave
Aeon Zen;progressive_rock_artists;Cambridge;;United Kingdom;2008;present;progressive rock
Aerosmith;hard_rock_musicians;Boston;Massachusetts;United States;1970;present;hard rock
After Midnight Project;alternative_rock_artists;Los Angeles;California;United States;2004;2012;alternative rock
After the Fire (ATF);new_wave_artists;London;London;United Kingdom;1972;2013;new wave
Against Me!;alternative_rock_artists;Naples;Florida;United States;1997;present;alternative rock
Against the Current;alternative_rock_artists;Poughkeepsie;New York;United States;2011;present;alternative rock
Age of Chance;alternative_rock_artists;Leeds;West Yorkshire;United Kingdom;1983;1991;alternative rock
Agitation Free;progressive_rock_artists;;;Germany;1967;2013;progressive rock
Aguaturbia;psychedelic_rock_artists;;;Chile;1969;present;psychedelic rock
Ahat;hard_rock_musicians;Sofia;;Bulgaria;1986;present;hard rock
Aimee Mann;indie_rock_musicians;Richmond;Virginia;United States;1980;present;indie rock
Air Miami;indie_rock_musicians;Washington D.C.;District of Columbia;United States;1994;1996;indie rock
